Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,League
vs Leicester City,28,26.6,52.4,38,418.0,3420,38.0,63.0,46.0,109.0,59.0,4.0,5.0,64.0,2.0,63.3,59.8,47.9,107.7,721.0,1575.0,1.66,1.21,2.87,1.55,2.76,1.66,1.26,2.93,1.57,2.83,Premier League 2022-2023
vs Liverpool,28,26.6,38.9,38,418.0,3420,38.0,45.0,32.0,77.0,43.0,2.0,4.0,59.0,1.0,50.8,47.9,37.8,85.7,506.0,1101.0,1.18,0.84,2.03,1.13,1.97,1.34,0.99,2.33,1.26,2.26,Premier League 2022-2023
vs Manchester City,24,26.6,34.7,38,418.0,3420,38.0,32.0,21.0,53.0,29.0,3.0,3.0,80.0,2.0,32.1,29.8,23.8,53.5,434.0,860.0,0.84,0.55,1.39,0.76,1.32,0.85,0.63,1.47,0.78,1.41,Premier League 2022-2023
vs Manchester Utd,26,26.4,46.0,38,418.0,3420,38.0,42.0,28.0,70.0,40.0,2.0,3.0,50.0,0.0,50.4,48.0,37.4,85.4,697.0,1355.0,1.11,0.74,1.84,1.05,1.79,1.33,0.98,2.31,1.26,2.25,Premier League 2022-2023
vs Newcastle Utd,27,26.8,47.6,38,418.0,3420,38.0,31.0,23.0,54.0,29.0,2.0,5.0,80.0,2.0,39.5,35.6,29.6,65.2,600.0,1201.0,0.82,0.61,1.42,0.76,1.37,1.04,0.78,1.82,0.94,1.72,Premier League 2022-2023
vs Nott'ham Forest,33,26.8,62.8,38,418.0,3420,38.0,68.0,45.0,113.0,62.0,6.0,9.0,65.0,0.0,64.2,57.5,45.0,102.5,813.0,1904.0,1.79,1.18,2.97,1.63,2.82,1.69,1.18,2.87,1.51,2.7,Premier League 2022-2023
vs Southampton,36,26.7,55.6,38,418.0,3420,38.0,68.0,55.0,123.0,66.0,2.0,3.0,63.0,2.0,60.8,58.4,46.2,104.6,653.0,1735.0,1.79,1.45,3.24,1.74,3.18,1.6,1.21,2.81,1.54,2.75,Premier League 2022-2023
vs Tottenham,29,26.7,50.1,38,418.0,3420,38.0,62.0,45.0,107.0,59.0,3.0,4.0,79.0,2.0,49.6,46.5,36.3,82.8,685.0,1516.0,1.63,1.18,2.82,1.55,2.74,1.31,0.95,2.26,1.22,2.18,Premier League 2022-2023
vs West Ham,25,26.6,58.2,38,418.0,3420,38.0,54.0,42.0,96.0,50.0,4.0,6.0,54.0,0.0,53.0,48.4,39.8,88.2,805.0,1721.0,1.42,1.11,2.53,1.32,2.42,1.4,1.05,2.44,1.27,2.32,Premier League 2022-2023
vs Wolves,32,26.4,49.8,38,418.0,3420,38.0,57.0,44.0,101.0,55.0,2.0,4.0,75.0,0.0,59.9,56.7,44.2,100.9,703.0,1596.0,1.5,1.16,2.66,1.45,2.61,1.58,1.16,2.74,1.49,2.66,Premier League 2022-2023
vs Almería,29,27.6,54.9,38,418.0,3420,38.0,64.0,49.0,113.0,60.0,4.0,6.0,93.0,5.0,62.5,57.8,49.5,107.4,860.0,1707.0,1.68,1.29,2.97,1.58,2.87,1.65,1.3,2.95,1.52,2.83,La Liga 2022-2023
vs Athletic Club,26,27.3,48.4,38,418.0,3420,38.0,40.0,28.0,68.0,37.0,3.0,3.0,97.0,3.0,36.9,34.5,26.9,61.4,549.0,1212.0,1.05,0.74,1.79,0.97,1.71,0.97,0.71,1.68,0.91,1.62,La Liga 2022-2023
vs Atlético Madrid,27,27.0,49.4,38,418.0,3420,38.0,33.0,22.0,55.0,29.0,4.0,5.0,93.0,6.0,41.1,37.2,31.3,68.5,729.0,1634.0,0.87,0.58,1.45,0.76,1.34,1.08,0.82,1.9,0.98,1.8,La Liga 2022-2023
vs Barcelona,29,27.4,35.7,38,418.0,3420,38.0,17.0,10.0,27.0,14.0,3.0,3.0,93.0,8.0,33.2,30.8,23.0,53.9,475.0,955.0,0.45,0.26,0.71,0.37,0.63,0.87,0.61,1.48,0.81,1.42,La Liga 2022-2023
vs Betis,30,27.3,49.4,38,418.0,3420,38.0,40.0,28.0,68.0,37.0,3.0,3.0,99.0,8.0,50.0,47.7,37.0,84.7,749.0,1571.0,1.05,0.74,1.79,0.97,1.71,1.32,0.97,2.29,1.26,2.23,La Liga 2022-2023
vs Cádiz,38,27.2,58.1,38,418.0,3420,38.0,53.0,32.0,85.0,44.0,9.0,10.0,100.0,11.0,61.6,53.8,38.4,92.3,823.0,1739.0,1.39,0.84,2.24,1.16,2.0,1.62,1.01,2.63,1.42,2.43,La Liga 2022-2023
vs Celta Vigo,26,27.6,49.8,38,418.0,3420,38.0,52.0,35.0,87.0,47.0,5.0,8.0,112.0,9.0,45.4,39.2,30.5,69.7,536.0,1297.0,1.37,0.92,2.29,1.24,2.16,1.2,0.8,2.0,1.03,1.83,La Liga 2022-2023
vs Elche,32,27.3,54.5,38,418.0,3420,38.0,65.0,44.0,109.0,58.0,7.0,10.0,83.0,8.0,70.0,62.1,48.7,110.9,737.0,1615.0,1.71,1.16,2.87,1.53,2.68,1.84,1.28,3.13,1.64,2.92,La Liga 2022-2023
vs Espanyol,33,27.6,56.9,38,418.0,3420,38.0,67.0,47.0,114.0,62.0,5.0,6.0,111.0,8.0,59.8,55.3,44.6,99.8,748.0,1634.0,1.76,1.24,3.0,1.63,2.87,1.57,1.17,2.75,1.45,2.63,La Liga 2022-2023
vs Getafe,25,27.5,60.1,38,418.0,3420,38.0,43.0,29.0,72.0,39.0,4.0,8.0,91.0,7.0,46.0,39.8,31.0,70.8,688.0,1519.0,1.13,0.76,1.89,1.03,1.79,1.21,0.82,2.03,1.05,1.86,La Liga 2022-2023
vs Girona,29,27.2,48.7,38,418.0,3420,38.0,55.0,39.0,94.0,49.0,6.0,8.0,91.0,5.0,54.9,48.6,38.6,87.2,677.0,1439.0,1.45,1.03,2.47,1.29,2.32,1.44,1.02,2.46,1.28,2.29,La Liga 2022-2023
vs Mallorca,31,27.4,58.9,38,418.0,3420,38.0,43.0,31.0,74.0,37.0,6.0,7.0,94.0,4.0,46.4,41.0,31.8,72.8,795.0,1706.0,1.13,0.82,1.95,0.97,1.79,1.22,0.84,2.06,1.08,1.92,La Liga 2022-2023
vs Osasuna,26,27.4,52.0,38,418.0,3420,38.0,40.0,29.0,69.0,39.0,1.0,4.0,81.0,9.0,45.7,42.5,34.8,77.3,680.0,1371.0,1.05,0.76,1.82,1.03,1.79,1.2,0.92,2.12,1.12,2.03,La Liga 2022-2023
vs Rayo Vallecano,28,27.2,48.8,38,418.0,3420,38.0,49.0,34.0,83.0,45.0,4.0,5.0,93.0,7.0,50.3,46.6,36.8,83.4,589.0,1231.0,1.29,0.89,2.18,1.18,2.08,1.32,0.97,2.29,1.23,2.2,La Liga 2022-2023
vs Real Madrid,26,27.3,39.1,38,418.0,3420,38.0,35.0,21.0,56.0,31.0,4.0,5.0,97.0,7.0,38.9,35.0,27.8,62.8,631.0,1189.0,0.92,0.55,1.47,0.82,1.37,1.02,0.73,1.76,0.92,1.65,La Liga 2022-2023
vs Real Sociedad,30,27.5,45.4,38,418.0,3420,38.0,33.0,26.0,59.0,32.0,1.0,2.0,98.0,10.0,33.0,31.5,24.8,56.3,575.0,1025.0,0.87,0.68,1.55,0.84,1.53,0.87,0.65,1.52,0.83,1.48,La Liga 2022-2023
vs Sevilla,35,27.3,47.4,38,418.0,3420,38.0,51.0,40.0,91.0,49.0,2.0,3.0,95.0,8.0,54.2,51.8,42.0,93.7,643.0,1275.0,1.34,1.05,2.39,1.29,2.34,1.43,1.1,2.53,1.36,2.47,La Liga 2022-2023
vs Valencia,28,27.5,48.0,38,418.0,3420,38.0,43.0,34.0,77.0,41.0,2.0,5.0,127.0,10.0,43.5,39.7,32.3,72.0,480.0,1225.0,1.13,0.89,2.03,1.08,1.97,1.14,0.85,1.99,1.04,1.89,La Liga 2022-2023
vs Valladolid,36,27.4,51.3,38,418.0,3420,38.0,62.0,46.0,108.0,56.0,6.0,10.0,66.0,2.0,65.2,57.5,46.7,104.2,723.0,1486.0,1.63,1.21,2.84,1.47,2.68,1.71,1.23,2.94,1.51,2.74,La Liga 2022-2023
vs Villarreal,32,27.2,43.1,38,418.0,3420,38.0,39.0,29.0,68.0,35.0,4.0,4.0,105.0,5.0,49.9,46.7,35.7,82.4,640.0,1242.0,1.03,0.76,1.79,0.92,1.68,1.31,0.94,2.25,1.23,2.17,La Liga 2022-2023
vs Atalanta,27,26.5,50.1,38,418.0,3420,38.0,46.0,35.0,81.0,43.0,3.0,3.0,83.0,1.0,41.4,39.2,30.5,69.7,595.0,1264.0,1.21,0.92,2.13,1.13,2.05,1.09,0.8,1.89,1.03,1.83,Serie A 2022-2023
vs Bologna,27,26.6,45.3,38,418.0,3420,38.0,46.0,29.0,75.0,39.0,7.0,9.0,84.0,2.0,48.7,41.7,31.6,73.3,565.0,1294.0,1.21,0.76,1.97,1.03,1.79,1.28,0.83,2.11,1.1,1.93,Serie A 2022-2023
vs Cremonese,33,26.6,57.9,38,418.0,3420,38.0,68.0,46.0,114.0,63.0,5.0,5.0,66.0,1.0,66.1,62.2,49.1,111.2,763.0,1615.0,1.79,1.21,3.0,1.66,2.87,1.74,1.29,3.03,1.64,2.93,Serie A 2022-2023
vs Empoli,32,26.7,52.7,38,418.0,3420,38.0,48.0,32.0,80.0,44.0,4.0,6.0,84.0,5.0,58.3,53.7,40.7,94.4,830.0,1684.0,1.26,0.84,2.11,1.16,2.0,1.53,1.07,2.6,1.41,2.48,Serie A 2022-2023
vs Fiorentina,30,26.4,43.9,38,418.0,3420,38.0,41.0,28.0,69.0,34.0,7.0,8.0,103.0,7.0,43.4,37.4,30.7,68.1,476.0,922.0,1.08,0.74,1.82,0.89,1.63,1.14,0.81,1.95,0.98,1.79,Serie A 2022-2023
vs Hellas Verona,36,26.6,58.8,38,418.0,3420,38.0,56.0,48.0,104.0,55.0,1.0,2.0,69.0,5.0,49.9,48.4,39.2,87.6,603.0,1494.0,1.47,1.26,2.74,1.45,2.71,1.31,1.03,2.35,1.27,2.3,Serie A 2022-2023
vs Inter,25,26.5,44.3,38,418.0,3420,38.0,39.0,34.0,73.0,36.0,3.0,3.0,89.0,1.0,36.5,34.1,29.0,63.1,697.0,1227.0,1.03,0.89,1.92,0.95,1.84,0.96,0.76,1.72,0.9,1.66,Serie A 2022-2023
vs Juventus,29,26.7,50.4,38,418.0,3420,38.0,33.0,25.0,58.0,29.0,4.0,5.0,74.0,2.0,41.6,37.7,31.4,69.1,744.0,1357.0,0.87,0.66,1.53,0.76,1.42,1.09,0.83,1.92,0.99,1.82,Serie A 2022-2023
vs Lazio,24,26.5,47.9,38,418.0,3420,38.0,29.0,21.0,50.0,28.0,1.0,2.0,108.0,7.0,41.3,39.8,31.5,71.3,598.0,1302.0,0.76,0.55,1.32,0.74,1.29,1.09,0.83,1.92,1.05,1.88,Serie A 2022-2023
vs Lecce,29,26.7,58.7,38,418.0,3420,38.0,43.0,30.0,73.0,38.0,5.0,6.0,90.0,2.0,42.4,38.0,31.8,69.7,613.0,1408.0,1.13,0.79,1.92,1.0,1.79,1.12,0.84,1.95,1.0,1.84,Serie A 2022-2023
vs Milan,30,26.7,44.4,38,418.0,3420,38.0,42.0,32.0,74.0,38.0,4.0,5.0,113.0,1.0,41.1,37.2,31.0,68.2,546.0,1168.0,1.11,0.84,1.95,1.0,1.84,1.08,0.82,1.9,0.98,1.8,Serie A 2022-2023
vs Monza,31,26.4,44.8,38,418.0,3420,38.0,51.0,32.0,83.0,48.0,3.0,3.0,78.0,5.0,51.3,49.0,38.0,87.0,768.0,1449.0,1.34,0.84,2.18,1.26,2.11,1.35,1.0,2.35,1.29,2.29,Serie A 2022-2023
vs Napoli,27,26.4,38.2,38,418.0,3420,38.0,28.0,18.0,46.0,27.0,1.0,2.0,92.0,4.0,31.8,30.2,24.6,54.8,509.0,1013.0,0.74,0.47,1.21,0.71,1.18,0.84,0.65,1.48,0.8,1.44,Serie A 2022-2023
vs Roma,30,26.6,51.4,38,418.0,3420,38.0,37.0,26.0,63.0,35.0,2.0,3.0,124.0,8.0,32.3,30.0,21.9,51.9,635.0,1362.0,0.97,0.68,1.66,0.92,1.61,0.85,0.58,1.43,0.79,1.37,Serie A 2022-2023
vs Salernitana,30,26.6,55.1,38,418.0,3420,38.0,62.0,40.0,102.0,55.0,7.0,11.0,74.0,6.0,67.1,58.0,44.7,102.7,770.0,1624.0,1.63,1.05,2.68,1.45,2.5,1.77,1.18,2.94,1.53,2.7,Serie A 2022-2023
vs Sampdoria,40,26.7,53.9,38,418.0,3420,38.0,69.0,53.0,122.0,61.0,8.0,11.0,79.0,1.0,66.3,57.9,47.6,105.5,723.0,1603.0,1.82,1.39,3.21,1.61,3.0,1.75,1.25,3.0,1.52,2.78,Serie A 2022-2023
vs Sassuolo,31,26.5,50.8,38,418.0,3420,38.0,59.0,44.0,103.0,55.0,4.0,4.0,86.0,4.0,49.7,47.1,38.7,85.8,672.0,1349.0,1.55,1.16,2.71,1.45,2.61,1.31,1.02,2.33,1.24,2.26,Serie A 2022-2023
vs Spezia,34,27.0,52.6,38,418.0,3420,38.0,59.0,41.0,100.0,54.0,5.0,7.0,61.0,2.0,59.5,54.0,43.2,97.2,671.0,1440.0,1.55,1.08,2.63,1.42,2.5,1.57,1.14,2.7,1.42,2.56,Serie A 2022-2023
vs Torino,28,26.6,46.8,38,418.0,3420,38.0,41.0,28.0,69.0,36.0,5.0,6.0,66.0,1.0,40.0,35.3,28.2,63.5,524.0,1100.0,1.08,0.74,1.82,0.95,1.68,1.05,0.74,1.79,0.93,1.67,Serie A 2022-2023
vs Udinese,30,26.8,52.0,38,418.0,3420,38.0,46.0,32.0,78.0,40.0,6.0,7.0,86.0,3.0,51.8,46.7,36.5,83.1,631.0,1462.0,1.21,0.84,2.05,1.05,1.89,1.36,0.96,2.32,1.23,2.19,Serie A 2022-2023
vs Ajaccio,36,26.1,56.8,38,418.0,3420,38.0,72.0,49.0,121.0,63.0,9.0,10.0,69.0,8.0,53.9,46.3,34.9,81.2,636.0,1696.0,1.89,1.29,3.18,1.66,2.95,1.42,0.92,2.34,1.22,2.14,Ligue 1 2022-2023
vs Angers,33,26.5,53.1,38,418.0,3420,38.0,77.0,57.0,134.0,68.0,9.0,11.0,59.0,6.0,61.7,53.2,42.2,95.5,725.0,1600.0,2.03,1.5,3.53,1.79,3.29,1.62,1.11,2.74,1.4,2.51,Ligue 1 2022-2023
vs Auxerre,33,26.4,56.7,38,418.0,3420,38.0,62.0,45.0,107.0,58.0,4.0,6.0,47.0,3.0,58.7,54.5,44.9,99.4,669.0,1837.0,1.63,1.18,2.82,1.53,2.71,1.54,1.18,2.73,1.43,2.62,Ligue 1 2022-2023
vs Brest,29,26.1,55.1,38,418.0,3420,38.0,52.0,34.0,86.0,45.0,7.0,9.0,76.0,7.0,56.1,49.0,38.2,87.2,686.0,1926.0,1.37,0.89,2.26,1.18,2.08,1.48,1.0,2.48,1.29,2.3,Ligue 1 2022-2023
vs Clermont Foot,28,26.3,51.7,38,418.0,3420,38.0,49.0,33.0,82.0,41.0,8.0,12.0,76.0,9.0,58.2,48.7,35.4,84.1,646.0,1688.0,1.29,0.87,2.16,1.08,1.95,1.53,0.93,2.46,1.28,2.21,Ligue 1 2022-2023
vs Lens,29,26.0,44.4,38,418.0,3420,38.0,28.0,19.0,47.0,25.0,3.0,3.0,79.0,3.0,43.5,41.1,31.7,72.8,544.0,1268.0,0.74,0.5,1.24,0.66,1.16,1.14,0.83,1.98,1.08,1.92,Ligue 1 2022-2023
vs Lille,26,26.2,39.5,38,418.0,3420,38.0,41.0,26.0,67.0,37.0,4.0,5.0,75.0,6.0,40.5,36.6,27.8,64.3,513.0,1060.0,1.08,0.68,1.76,0.97,1.66,1.07,0.73,1.8,0.96,1.69,Ligue 1 2022-2023
vs Lorient,30,26.4,53.4,38,418.0,3420,38.0,52.0,36.0,88.0,50.0,2.0,2.0,80.0,4.0,58.2,56.6,43.0,99.6,759.0,2065.0,1.37,0.95,2.32,1.32,2.26,1.53,1.13,2.66,1.49,2.62,Ligue 1 2022-2023
vs Lyon,29,26.1,41.9,38,418.0,3420,38.0,44.0,24.0,68.0,33.0,11.0,11.0,66.0,4.0,51.6,43.0,34.1,77.1,677.0,1277.0,1.16,0.63,1.79,0.87,1.5,1.36,0.9,2.26,1.13,2.03,Ligue 1 2022-2023
vs Marseille,30,26.2,43.3,38,418.0,3420,38.0,37.0,22.0,59.0,32.0,5.0,5.0,64.0,0.0,42.5,38.5,30.2,68.8,577.0,1146.0,0.97,0.58,1.55,0.84,1.42,1.12,0.8,1.91,1.01,1.81,Ligue 1 2022-2023
vs Monaco,27,26.3,51.8,38,418.0,3420,38.0,55.0,40.0,95.0,50.0,5.0,5.0,58.0,2.0,53.2,49.7,38.2,87.9,647.0,1518.0,1.45,1.05,2.5,1.32,2.37,1.4,1.0,2.41,1.31,2.31,Ligue 1 2022-2023
vs Montpellier,31,26.5,54.2,38,418.0,3420,38.0,60.0,42.0,102.0,54.0,6.0,11.0,82.0,10.0,62.2,53.5,39.4,92.9,794.0,1799.0,1.58,1.11,2.68,1.42,2.53,1.64,1.04,2.67,1.41,2.45,Ligue 1 2022-2023
vs Nantes,29,26.3,54.1,38,418.0,3420,38.0,51.0,29.0,80.0,42.0,9.0,9.0,61.0,5.0,52.4,45.5,34.5,80.0,750.0,1771.0,1.34,0.76,2.11,1.11,1.87,1.38,0.91,2.29,1.2,2.11,Ligue 1 2022-2023
vs Nice,34,26.3,48.5,38,418.0,3420,38.0,37.0,25.0,62.0,34.0,3.0,5.0,44.0,4.0,44.6,40.6,32.7,73.3,704.0,1606.0,0.97,0.66,1.63,0.89,1.55,1.17,0.86,2.04,1.07,1.93,Ligue 1 2022-2023
vs Paris S-G,26,26.1,39.3,38,418.0,3420,38.0,39.0,27.0,66.0,37.0,2.0,5.0,50.0,4.0,48.3,44.3,34.7,79.0,698.0,1316.0,1.03,0.71,1.74,0.97,1.68,1.27,0.91,2.18,1.17,2.08,Ligue 1 2022-2023
vs Reims,34,26.4,51.3,38,418.0,3420,38.0,43.0,28.0,71.0,40.0,3.0,3.0,66.0,6.0,52.7,50.3,40.4,90.8,663.0,1588.0,1.13,0.74,1.87,1.05,1.79,1.39,1.06,2.45,1.32,2.39,Ligue 1 2022-2023
vs Rennes,32,26.2,44.6,38,418.0,3420,38.0,38.0,27.0,65.0,35.0,3.0,5.0,55.0,5.0,44.1,40.2,30.4,70.6,564.0,1323.0,1.0,0.71,1.71,0.92,1.63,1.16,0.8,1.96,1.06,1.86,Ligue 1 2022-2023
vs Strasbourg,29,26.2,54.1,38,418.0,3420,38.0,59.0,34.0,93.0,49.0,10.0,11.0,68.0,7.0,55.3,47.1,34.9,81.9,691.0,1478.0,1.55,0.89,2.45,1.29,2.18,1.45,0.92,2.37,1.24,2.16,Ligue 1 2022-2023
vs Toulouse,29,26.4,48.7,38,418.0,3420,38.0,54.0,31.0,85.0,50.0,4.0,7.0,64.0,2.0,57.0,51.4,37.5,88.9,743.0,1597.0,1.42,0.82,2.24,1.32,2.13,1.5,0.99,2.49,1.35,2.34,Ligue 1 2022-2023
vs Troyes,32,26.3,57.4,38,418.0,3420,38.0,79.0,51.0,130.0,72.0,7.0,8.0,47.0,5.0,78.0,71.7,54.5,126.2,791.0,2004.0,2.08,1.34,3.42,1.89,3.24,2.05,1.43,3.49,1.89,3.32,Ligue 1 2022-2023
vs Ajax,30,25.2,33.4,34,374.0,3060,34.0,38.0,30.0,68.0,37.0,1.0,1.0,65.0,0.0,30.5,29.7,25.3,55.0,390.0,738.0,1.12,0.88,2.0,1.09,1.97,0.9,0.74,1.64,0.87,1.62,Eredivisie 2022-2023
vs AZ Alkmaar,29,25.1,46.4,34,374.0,3060,34.0,35.0,27.0,62.0,31.0,4.0,5.0,45.0,5.0,38.8,34.9,28.2,63.1,454.0,1124.0,1.03,0.79,1.82,0.91,1.71,1.14,0.83,1.97,1.03,1.86,Eredivisie 2022-2023
vs Cambuur,31,25.1,52.2,34,374.0,3060,34.0,66.0,46.0,112.0,60.0,6.0,7.0,55.0,1.0,61.9,56.7,45.6,102.3,743.0,1475.0,1.94,1.35,3.29,1.76,3.12,1.82,1.34,3.16,1.67,3.01,Eredivisie 2022-2023
vs Emmen,30,24.9,51.3,34,374.0,3060,34.0,64.0,50.0,114.0,62.0,2.0,2.0,51.0,3.0,54.0,52.5,42.7,95.2,708.0,1444.0,1.88,1.47,3.35,1.82,3.29,1.59,1.26,2.85,1.54,2.8,Eredivisie 2022-2023
vs Excelsior,28,24.9,58.6,34,374.0,3060,34.0,69.0,47.0,116.0,68.0,1.0,1.0,39.0,2.0,66.8,66.0,49.3,115.3,742.0,1814.0,2.03,1.38,3.41,2.0,3.38,1.97,1.45,3.41,1.94,3.39,Eredivisie 2022-2023
vs Feyenoord,30,25.2,41.1,34,374.0,3060,34.0,28.0,24.0,52.0,28.0,0.0,1.0,56.0,5.0,30.0,29.2,24.0,53.2,363.0,904.0,0.82,0.71,1.53,0.82,1.53,0.88,0.71,1.59,0.86,1.57,Eredivisie 2022-2023
vs Fortuna Sittard,28,25.1,56.0,34,374.0,3060,34.0,60.0,48.0,108.0,57.0,3.0,3.0,40.0,1.0,60.2,57.9,46.9,104.8,818.0,1763.0,1.76,1.41,3.18,1.68,3.09,1.77,1.38,3.15,1.7,3.08,Eredivisie 2022-2023
vs Go Ahead Eag,27,25.2,53.2,34,374.0,3060,34.0,54.0,41.0,95.0,52.0,2.0,2.0,60.0,0.0,48.4,47.1,36.8,83.8,576.0,1322.0,1.59,1.21,2.79,1.53,2.74,1.42,1.08,2.51,1.38,2.47,Eredivisie 2022-2023
vs Groningen,36,25.1,53.7,34,374.0,3060,34.0,75.0,57.0,132.0,68.0,7.0,7.0,35.0,1.0,62.2,56.9,45.5,102.4,655.0,1472.0,2.21,1.68,3.88,2.0,3.68,1.83,1.34,3.17,1.67,3.01,Eredivisie 2022-2023
vs Heerenveen,26,25.1,49.6,34,374.0,3060,34.0,49.0,37.0,86.0,45.0,4.0,5.0,53.0,0.0,50.9,46.9,40.4,87.3,589.0,1371.0,1.44,1.09,2.53,1.32,2.41,1.5,1.19,2.68,1.38,2.57,Eredivisie 2022-2023
vs NEC Nijmegen,22,25.0,49.3,34,374.0,3060,34.0,44.0,31.0,75.0,40.0,4.0,4.0,68.0,5.0,52.3,49.1,39.4,88.5,636.0,1390.0,1.29,0.91,2.21,1.18,2.09,1.54,1.16,2.7,1.45,2.6,Eredivisie 2022-2023
vs PSV Eindhoven,32,25.1,44.5,34,374.0,3060,34.0,38.0,24.0,62.0,36.0,2.0,2.0,58.0,3.0,32.0,30.7,23.0,53.7,451.0,1099.0,1.12,0.71,1.82,1.06,1.76,0.94,0.68,1.62,0.9,1.58,Eredivisie 2022-2023
vs RKC Waalwijk,27,25.1,54.6,34,374.0,3060,34.0,63.0,41.0,104.0,58.0,5.0,8.0,44.0,5.0,64.0,57.9,41.9,99.8,749.0,1589.0,1.85,1.21,3.06,1.71,2.91,1.88,1.23,3.11,1.7,2.94,Eredivisie 2022-2023
vs Sparta R'dam,30,25.0,52.3,34,374.0,3060,34.0,36.0,28.0,64.0,34.0,2.0,3.0,41.0,4.0,47.2,44.8,34.9,79.7,767.0,1566.0,1.06,0.82,1.88,1.0,1.82,1.39,1.03,2.41,1.32,2.34,Eredivisie 2022-2023
vs Twente,26,24.9,41.8,34,374.0,3060,34.0,26.0,16.0,42.0,25.0,1.0,2.0,56.0,2.0,36.2,34.6,28.1,62.7,435.0,922.0,0.76,0.47,1.24,0.74,1.21,1.06,0.83,1.89,1.02,1.84,Eredivisie 2022-2023
vs Utrecht,33,24.9,50.9,34,374.0,3060,34.0,50.0,32.0,82.0,49.0,1.0,1.0,44.0,2.0,45.5,44.7,34.1,78.8,632.0,1401.0,1.47,0.94,2.41,1.44,2.38,1.34,1.0,2.34,1.31,2.32,Eredivisie 2022-2023
vs Vitesse,30,25.1,51.1,34,374.0,3060,34.0,49.0,34.0,83.0,48.0,1.0,2.0,35.0,2.0,40.2,38.7,30.6,69.3,700.0,1402.0,1.44,1.0,2.44,1.41,2.41,1.18,0.9,2.08,1.14,2.04,Eredivisie 2022-2023
vs Volendam,31,25.0,59.1,34,374.0,3060,34.0,67.0,50.0,117.0,65.0,2.0,4.0,39.0,1.0,63.7,60.6,45.6,106.2,679.0,1681.0,1.97,1.47,3.44,1.91,3.38,1.87,1.34,3.22,1.78,3.12,Eredivisie 2022-2023
vs Arouca,29,26.3,52.1,34,374.0,3060,34.0,36.0,20.0,56.0,31.0,5.0,10.0,75.0,3.0,50.4,42.5,31.6,74.1,647.0,1540.0,1.06,0.59,1.65,0.91,1.5,1.48,0.93,2.41,1.25,2.18,Primeira Liga 2022-2023
vs Benfica,32,26.0,36.8,34,374.0,3060,34.0,19.0,12.0,31.0,17.0,2.0,2.0,96.0,4.0,23.0,21.4,15.5,36.9,365.0,750.0,0.56,0.35,0.91,0.5,0.85,0.68,0.46,1.13,0.63,1.08,Primeira Liga 2022-2023
vs Boavista,30,26.0,51.6,34,374.0,3060,34.0,52.0,37.0,89.0,47.0,5.0,7.0,99.0,12.0,47.7,42.0,34.3,76.4,529.0,1318.0,1.53,1.09,2.62,1.38,2.47,1.4,1.01,2.41,1.24,2.25,Primeira Liga 2022-2023
vs Braga,31,26.1,45.7,34,374.0,3060,34.0,30.0,23.0,53.0,26.0,4.0,5.0,96.0,4.0,39.6,35.7,28.8,64.4,543.0,1086.0,0.88,0.68,1.56,0.76,1.44,1.16,0.85,2.01,1.05,1.9,Primeira Liga 2022-2023
vs Casa Pia,31,26.0,58.0,34,374.0,3060,34.0,38.0,29.0,67.0,33.0,5.0,7.0,65.0,5.0,48.6,43.0,32.5,75.5,554.0,1525.0,1.12,0.85,1.97,0.97,1.82,1.43,0.95,2.38,1.27,2.22,Primeira Liga 2022-2023
vs Chaves,31,26.1,53.7,34,374.0,3060,34.0,40.0,25.0,65.0,34.0,6.0,10.0,110.0,7.0,54.8,47.1,34.9,82.0,670.0,1449.0,1.18,0.74,1.91,1.0,1.74,1.61,1.03,2.64,1.39,2.41,Primeira Liga 2022-2023
vs Estoril,33,26.0,52.4,34,374.0,3060,34.0,48.0,30.0,78.0,38.0,10.0,14.0,99.0,10.0,59.0,48.1,36.7,84.8,570.0,1342.0,1.41,0.88,2.29,1.12,2.0,1.73,1.08,2.81,1.41,2.49,Primeira Liga 2022-2023
vs Famalicão,33,26.3,52.9,34,374.0,3060,34.0,45.0,28.0,73.0,38.0,7.0,9.0,96.0,3.0,48.0,41.2,32.2,73.3,561.0,1308.0,1.32,0.82,2.15,1.12,1.94,1.41,0.95,2.36,1.21,2.16,Primeira Liga 2022-2023
vs Gil Vicente FC,32,26.0,46.4,34,374.0,3060,34.0,41.0,31.0,72.0,38.0,3.0,3.0,98.0,7.0,54.8,52.5,42.1,94.6,586.0,1184.0,1.21,0.91,2.12,1.12,2.03,1.61,1.24,2.85,1.54,2.78,Primeira Liga 2022-2023
vs Marítimo,39,26.2,51.6,34,374.0,3060,34.0,62.0,42.0,104.0,55.0,7.0,9.0,85.0,3.0,56.1,49.2,38.3,87.5,540.0,1301.0,1.82,1.24,3.06,1.62,2.85,1.65,1.13,2.78,1.45,2.57,Primeira Liga 2022-2023
